position,person,personID,start,end
Member of National Assembly of South Korea,Kim Hyŏng-o,Q87652783,1992-05-30,2012-05-29
Member of National Assembly of South Korea,Jin-Cheol Im,Q19940927,1996-05,2000-05
Member of National Assembly of South Korea,Chung Sye-kyun,Q11270093,1996-05-30,2000-05-29
Member of National Assembly of South Korea,Choo Mi-ae,Q11274387,1996-05-30,2000-05-29
Member of National Assembly of South Korea,Kang Chang-hee,Q12583135,1996-05-30,2000-05-29
Member of National Assembly of South Korea,Kim Min-seok,Q12587400,1996-05-30,2000-05-29
Member of National Assembly of South Korea,Kim Yeong-seon,Q12588032,1996-05-30,2000-05-29
Member of National Assembly of South Korea,Kim Hong-il,Q12589333,1996-05-30,2008-05-29
Member of National Assembly of South Korea,Sul Hoon,Q12601823,1996-05-30,2000-05-29
Member of National Assembly of South Korea,Won Yoo-chul,Q12609323,1996-05-30,2000-05-29
Member of National Assembly of South Korea,Lee Mi-kyung,Q12611422,1996-05-30,2016-05-29
Member of National Assembly of South Korea,Lee Seok-hyun,Q12611720,1996-05-30,2000-05-29
Member of National Assembly of South Korea,Chung Woo-taik,Q12615868,1996-05-30,2000-05-29
Member of National Assembly of South Korea,Chung Ui-hwa,Q12615929,1996-05-30,2000-05-29
Member of National Assembly of South Korea,Hong Moon-jong,Q12625372,1996-05-30,2000-05-29
Member of National Assembly of South Korea,Hong Sa-deok,Q12625382,1996-05-30,2000-05-29
Member of National Assembly of South Korea,Kim Moo-sung,Q16080217,1996-05-30,2000-05-29
Member of National Assembly of South Korea,Lee Hae Chan,Q319920,1996-05-30,2000-05-29
Member of National Assembly of South Korea,Park Geun-hye,Q138048,1998-04-03,2000-05-29
Member of National Assembly of South Korea,Roh Moo-hyun,Q14345,1998-07-22,2000-05-29
Member of National Assembly of South Korea,Chung Sye-kyun,Q11270093,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Choo Mi-ae,Q11274387,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Kang Chang-hee,Q12583135,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Kim Min-seok,Q12587400,2000-05-30,2002-05-25
Member of National Assembly of South Korea,Kim Yeong-seon,Q12588032,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Moon Hee-sang,Q12595907,2000-05-30,2003-03-07
Member of National Assembly of South Korea,Sul Hoon,Q12601823,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Won Yoo-chul,Q12609323,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Lee Nak-yon,Q12611134,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Lee Ju-young,Q12612708,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Chung Woo-taik,Q12615868,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Chung Ui-hwa,Q12615929,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Chung Jin-suk,Q12616038,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Hong Sa-deok,Q12625382,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Park Geun-hye,Q138048,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Park Byeong-seug,Q16079899,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Lee Jong-kul,Q16079943,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Kim Moo-sung,Q16080217,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Chung In Bong,Q16176867,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Lee Hae Chan,Q319920,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Song Young-gil,Q484024,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Oh Se-hoon,Q494239,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Shim Jae-chul,Q50062431,2000-05-30,2004-05-29
Member of National Assembly of South Korea,Hong Joon-pyo,Q5894103,2001-10-26,2004-05-29
Member of National Assembly of South Korea,Kwon Young-se,Q16080113,2002-08-09,2004-05-29
Member of National Assembly of South Korea,Suh Byung-soo,Q16083277,2002-08-09,2004-05-29
Member of National Assembly of South Korea,Park Jin,Q16090188,2002-08-09,2004-05-29
Member of National Assembly of South Korea,Hong Moon-jong,Q12625372,2003-04-25,2004-05-29
Member of National Assembly of South Korea,Rhyu Si-min,Q488339,2003-04-25,2004-05-29
Member of National Assembly of South Korea,Kang Chang-il,Q10855142,2004-05-30,2008-05-29
Member of National Assembly of South Korea,김원웅,Q10855863,2004-05-30,2008-05-29
Member of National Assembly of South Korea,Kim Jin-pyo,Q10855898,2004-05-30,2008-05-29
Member of National Assembly of South Korea,Kim Han-gil,Q10855915,2004-05-30,2008-05-29
Member of National Assembly of South Korea,Park Se-il,Q11243258,2004-05-30,2005-03-25
Member of National Assembly of South Korea,Sim Sang-jung,Q11255427,2004-05-30,2008-02-14
Member of National Assembly of South Korea,Won Hye-young,Q11263813,2004-05-30,2008-05-29
Member of National Assembly of South Korea,Lee Kwang-jae,Q11265419,2004-05-30,2008-05-29
Member of National Assembly of South Korea,Lee In-je,Q11266541,2004-05-30,2008-05-29
Member of National Assembly of South Korea,전재희,Q11269633,2004-05-30,2008-05-29
