position,person,personID,start,end
President,Kim Dae-jung,Q45785,1998-02-25,2003-02-24
President,Roh Moo-hyun,Q14345,2003-02-25,2008-02-24
President,Lee Myung-bak,Q14342,2008-02-25,2013-02-24
President,Park Geun-hye,Q138048,2013-02-25,2017-03-10
President,Moon Jae-in,Q21001,2017-05-10,2022-05-09
President,Yoon Suk-yeol,Q16090635,2022-05-10,
Prime Minister,Lee Hae Chan,Q319920,2004-07-30,2006-03-15
Prime Minister,Han Duck-soo,Q356666,2006-03-14,2006-04-19
Prime Minister,Han Duck-soo,Q356666,2007-04-02,2008-02-29
Prime Minister,Chung Un-chan,Q336417,2009-09-29,2010-08-11
Prime Minister,Yoon Jeung-hyun,Q498266,2010-08-11,2010-10-01
Prime Minister,Kim Hwang-sik,Q47529,2010-10-01,2013-02-26
Prime Minister,Jung Hong-won,Q4352214,2013-02-26,2015-02-16
Prime Minister,Lee Wan-koo,Q12612132,2015-02-17,2015-04-27
Prime Minister,Hwang Kyo-ahn,Q12625765,2015-06-18,2017-05-11
Prime Minister,Lee Nak-yon,Q12611134,2017-05-31,2020-01-14
Prime Minister,Chung Sye-kyun,Q11270093,2020-01-14,2021-04-17
Prime Minister,Hong Nam-ki,Q31180640,2021-04-17,2021-05-14
Prime Minister,Kim Boo-kyum,Q12587534,2021-05-14,2022-05-11
Prime Minister,Choo Kyung-ho,Q12619978,2022-05-12,2022-05-20
Prime Minister,Han Duck-soo,Q356666,2022-05-21,
Deputy Prime Minister,Jin Nyum,Q12618182,2001-01-29,2002-04-15
Deputy Prime Minister,Han Wan-sang,Q12624201,2001-01-29,2002-01-29
Deputy Prime Minister,Lee Sang-joo,Q16090930,2002-01-29,2003-03-06
Deputy Prime Minister,Jeon Yun-churl,Q16091546,2002-04-15,2003-02-25
Deputy Prime Minister,Kim Jin-pyo,Q10855898,2003-02-25,2004-02-10
Deputy Prime Minister,Yoon Deok-hong,Q16090626,2003-03-07,2003-12-24
Deputy Prime Minister,Ahn Byung-young,Q16084637,2003-12-24,2005-01-05
Deputy Prime Minister,Lee Hun-jai,Q3565102,2004-02-10,2005-03-07
Deputy Prime Minister,Oh Myung,Q12607825,2004-10-18,2006-02-10
Deputy Prime Minister,Lee Ki-jun,Q16090761,2005-01-05,2005-01-11
Deputy Prime Minister,Kim Young-sik,Q16080314,2005-01-11,2005-01-28
Deputy Prime Minister,Kim Jin-pyo,Q10855898,2005-01-28,2006-07-21
Deputy Prime Minister,Han Duck-soo,Q356666,2005-03-14,2006-07-18
Deputy Prime Minister,Kim Woo Sik,Q12588244,2006-02-10,2008-02-29
Deputy Prime Minister,Kwon O-kyu,Q3200866,2006-07-18,2008-02-29
Deputy Prime Minister,Kim Byong-joon,Q624537,2006-07-21,2006-08-09
Deputy Prime Minister,Lee Jong-seo,Q16091103,2006-08-09,2006-09-20
Deputy Prime Minister,Kim Shin-il,Q12587937,2006-09-20,2008-02-06
Deputy Prime Minister,Seo Nam-soo,Q12600849,2008-02-06,2008-02-25
Deputy Prime Minister,Seo Nam-soo,Q12600849,2008-02-25,2008-02-29
Deputy Prime Minister,Hyun Oh-seok,Q16092536,2013-03-22,2014-07-15
Deputy Prime Minister,Choi Kyoung-hwan,Q5103931,2014-07-15,2016-01-12
Deputy Prime Minister,Hwang Woo-yea,Q4392537,2014-11-19,2016-01-12
Deputy Prime Minister,Yoo Il-ho,Q16090573,2016-01-13,2017-03-10
Deputy Prime Minister,Lee Joon-sik,Q22083389,2016-01-13,2017-03-10
Deputy Prime Minister,Yoo Il-ho,Q16090573,2017-03-10,2017-05-11
Deputy Prime Minister,Lee Joon-sik,Q22083389,2017-03-10,2017-05-11
Deputy Prime Minister,Yoo Il-ho,Q16090573,2017-05-11,2017-06-10
Deputy Prime Minister,Lee Joon-sik,Q22083389,2017-05-11,2017-07-05
Deputy Prime Minister,Kim Dong-yeon,Q16080198,2017-06-10,2018-12-10
Deputy Prime Minister,Kim Sang-gon,Q16080247,2017-07-05,2018-10-02
Deputy Prime Minister,Yoo Eun-hae,Q16079929,2018-10-02,2022-05-09
Deputy Prime Minister,Hong Nam-ki,Q31180640,2018-12-11,2022-05-09
Deputy Prime Minister,Choo Kyung-ho,Q12619978,2022-05-10,
Deputy Prime Minister,Park Soon-ae,Q112131619,2022-07-04,
"Minister of Agriculture, Food and Rural Affairs",Kim Yung-rok,Q16176504,2017-07-03,2018-03-15
"Minister of Agriculture, Food and Rural Affairs",Lee Kai-ho,Q17401410,2018-08-09,2019-08-30
"Minister of Agriculture, Food and Rural Affairs",Kim Hyeon-soo,Q69696972,2019-08-31,2022-05-09
"Minister of Agriculture, Food and Rural Affairs",Jung Hwang-keun,Q31180631,2022-05-09,
"Minister of Culture, Sports and Tourism",Lee Chang-dong,Q239656,2003-02-27,2004-06-30
"Minister of Culture, Sports and Tourism",Do Jong-hwan,Q12593087,2017-06-16,2019-04-03
"Minister of Culture, Sports and Tourism",Park Yang-woo,Q16081865,2019-04-03,2021-02-10
"Minister of Culture, Sports and Tourism",Hwang Hee,Q24856300,2021-02-11,2022-05-10
"Minister of Culture, Sports and Tourism",Park Bo-gyun,Q111602136,2022-05-10,
Minister of Defence,Han Min-goo,Q5646647,2014-06-30,2017-07-13
Minister of Defence,Song Young-moo,Q31179461,2017-07-13,2018-09-21
Minister of Defence,Jeong Kyeong-doo,Q22974878,2018-09-21,2020-09-18
Minister of Defence,Suh Wook,Q61117556,2020-09,2022-05-10
Minister of Defence,Lee Jong-sup,Q42521104,2022-05-10,
Minister of Education,Hwang Woo-yea,Q4392537,2014-11-19,2016-01-12
Minister of Education,Lee Joon-sik,Q22083389,2016-01-13,2017-07-04
Minister of Education,Kim Sang-gon,Q16080247,2017-07-04,2018-10-02
Minister of Education,Yoo Eun-hae,Q16079929,2018-10-02,2022-05-09
Minister of Education,장상윤,Q112023728,2022-05-10,2022-07-04
Minister of Education,Park Soon-ae,Q112131619,2022-07-04,
Minister of Employment and Labour,Kim Young-joo,Q16080318,2017-08-14,2018-09-21
Minister of Employment and Labour,Lee Jae-gap,Q56824997,2018-09-21,2021-05-06
Minister of Employment and Labour,An Kyung-duk,Q106514351,2021-05-07,2022-05-09
Minister of Employment and Labour,Lee Jeong-Sik,Q112023777,2022-05-09,
Minister of the Environment,Yoon Sung-Kyu,Q12610308,2013-03-11,2016-09-04
Minister of the Environment,Jo Kyung-gyu,Q48421040,2016-09-05,2017-07-03
Minister of the Environment,Kim Eunkyung,Q31178699,2017-07-04,2018-11-09
Minister of the Environment,Han Jeoung-ae,Q12624300,2021-01-22,2022-05-10
Minister of the Environment,Han Hwa-jin,Q111621057,2022-05-10,
Minister of Finance,Han Duck-soo,Q356666,2005-03-14,2006-07-18
Minister of Finance,Yoon Jeung-hyun,Q498266,2009-02-10,2011-06-01
Minister of Finance,Kim Dong-yeon,Q16080198,2017-06-09,2018-12-10
Minister of Finance,Hong Nam-ki,Q31180640,2018-11,2022-05-09
Minister of Finance,Choo Kyung-ho,Q12619978,2022-05-10,
Minister of Food and Drink Safety,Kim Ganglip,Q105076339,2020-11-02,
Minister of Foreign Affairs,Hong Soon-young,Q5895672,1998-08-04,2000-01-14
Minister of Foreign Affairs,Lee Joung-binn,Q12612564,2000-01-14,2001-03-26
Minister of Foreign Affairs,Han Seung-soo,Q356675,2001-03-26,2002-02-04
Minister of Foreign Affairs,Choi Sung-hong,Q12619619,2002-02-04,2003-02-27
Minister of Foreign Affairs,Yoon Young-kwan,Q8055228,2003-02-27,2004-01-17
Minister of Foreign Affairs,Ban Ki-moon,Q1253,2004-01-17,2006-11-10
Minister of Foreign Affairs,Song Minsoon,Q490657,2006-11-10,2008-02-29
Minister of Foreign Affairs,Yu Myung-hwan,Q487250,2008-02-29,2010-09-04
Minister of Foreign Affairs,Kim Sung-hwan,Q492723,2010-10-08,2013-03-11
Minister of Foreign Affairs,Yun Byung-se,Q8325594,2013-03-11,2017-06-18
Minister of Foreign Affairs,Kang Kyung-hwa,Q6362240,2017-06-18,2021-02-08
Minister of Foreign Affairs,Chung Eui-yong,Q19941071,2021-02-09,2022-05-12
Minister of Foreign Affairs,Park Jin,Q16090188,2022-05-12,
Minister of Gender Equality and Family,Hee Young Paik,Q50125247,2010-03-19,2011-09-15
Minister of Gender Equality and Family,Chung Hyun-back,Q50125291,2017-07-07,2018-09-21
Minister of Gender Equality and Family,Chung Young-ai,Q104525309,2020-12-29,2022-05-17
Minister of Gender Equality and Family,Kim Hyun-sook,Q16080684,2022-05-17,
Minister for Government Legislation,Lee Kang-seop,Q105706103,2020-08,
Minister for Government Policy Coordination,Kim Dong-yeon,Q16080198,2013-03-25,2014-07-22
Minister for Government Policy Coordination,Hong Nam-ki,Q31180640,2017-05-11,2018-11-09
Minister for Government Policy Coordination,Koo Yun-cheol,Q106301454,2020-05-09,
Minister of Health and Welfare,Rhyu Si-min,Q488339,2006-02-10,2007-05-22
Minister of Health and Welfare,Chung Chin-youb,Q21710487,2015-08-27,2017-07-21
