wanted,position,positionid,from,start,end
Q59381987,Minister of the Environment,Q12592566,Q12624300,2021-01-22,2022-05-10
Q12590403,Chief of Staff to the President,Q12592423,Q24856203,2021-01-01,
Q66363802,Minister of Gender Equality and Family,Q16177057,Q104525309,2020-12-29,2022-05-17
Q12618296,Minister of the Interior and Safety,Q12592496,Q16091570,2020-12-24,2022-05-12
Q63017424,Minister of Food and Drink Safety,Q12592494,Q105076339,2020-11-02,
Q31180700,Director of the National Intelligence Service,Q109628468,Q624217,2020-07-29,
Q19941071,Director of the National Security Office,Q109628104,Q31180700,2020-07-03,
Q31178685,Minister for Government Policy Coordination,Q12592403,Q106301454,2020-05-09,
Q12587600,Chair of the Fair Trade Commission,Q109628278,Q66316843,2019-09-09,
Q16090741,Minister of Employment and Labour,Q12592375,Q16080318,2017-08-14,2018-09-21
Q18328947,"Minister of Trade, Industry and Energy",Q16176893,Q43508765,2017-07-22,2018-09-21
Q16177689,Minister of Gender Equality and Family,Q16177057,Q50125291,2017-07-07,2018-09-21
Q16080376,"Minister of Agriculture, Food and Rural Affairs",Q16176423,Q16176504,2017-07-03,2018-03-15
Q19795121,Minister of Reunification,Q12592549,Q31180634,2017-07-03,2019-04-08
Q12616979,"Minister of Culture, Sports and Tourism",Q12592439,Q12593087,2017-06-16,2019-04-03
Q16090573,Minister of Finance,Q12592471,Q16080198,2017-06-09,2018-12-10
Q16090573,Prime Minister,Q15407843,Q12611134,2017-05-31,2020-01-14
Q16081110,Minister of Health and Welfare,Q16176751,Q21710487,2015-08-27,2017-07-21
Q486034,Minister of Defence,Q12592405,Q5646647,2014-06-30,2017-07-13
Q12609831,Deputy Minister of Economy and Finance,Q12592418,Q16080198,2012-01-08,2013-03-22
Q356675,Prime Minister,Q15407843,Q336417,2009-09-29,2010-08-11
Q625939,ambassador to the United States,Q108598410,Q356666,2009-03-09,2012-02-17
Q6362244,Minister of Finance,Q12592471,Q498266,2009-02-10,2011-06-01
Q236485,Prime Minister,Q15407843,Q356666,2007-04-02,2008-02-29
Q6961085,Chief of Naval Operations,Q16177560,Q31179461,2006-11-17,2008-03-20
Q12612256,Governor of North Chungcheong Province,Q16179407,Q12615868,2006-07-01,2010-06-30
Q624445,Governor of South Chungcheong Province,Q16174818,Q12612132,2006-07-01,2009-12-04
Q3565102,Minister of Finance,Q12592471,Q356666,2005-03-14,2006-07-18
Q380681,Prime Minister,Q15407843,Q319920,2004-07-30,2006-03-15
Q12614665,Member of National Assembly of South Korea,Q14850694,Q489976,2004-05-30,2016-05-29
Q16179345,Member of National Assembly of South Korea,Q14850694,Q12615868,2000-05-30,2004-05-29
