wanted,position,positionid,from,start,end
Q31178685,Minister for Government Policy Coordination,Q12592403,Q31180640,2017-05-11,2018-11-09
Q12619978,Minister for Government Policy Coordination,Q12592403,Q16080198,2013-03-25,2014-07-22
Q12611718,Deputy Minister of Economy and Finance,Q12592418,Q16080198,2012-01-08,2013-03-22
Q356675,Prime Minister,Q15407843,Q356666,2007-04-02,2008-02-29
Q12605902,Governor of South Chungcheong Province,Q16174818,Q12612132,2006-07-01,2009-12-04
Q12611959,Governor of North Chungcheong Province,Q16179407,Q12615868,2006-07-01,2010-06-30
Q236485,Prime Minister,Q15407843,Q356666,2006-03-14,2006-04-19
Q3200866,Minister of Finance,Q12592471,Q356666,2005-03-14,2006-07-18
Q236485,Prime Minister,Q15407843,Q319920,2004-07-30,2006-03-15
Q16090425,Minister of Oceans and Fisheries,Q12592560,Q12615868,2001-03-26,2001-09-06
