item,itemLabel,startDate,endDate,sourceDate,psid
Q16082243,Park Jyun-kyu,1998-08-03,2000-05-29,2022-07-22,Q16082243-06E9DCF1-72BA-4812-968F-4A62A818F087
Q12611331,Lee Man-sup,2000-06-05,2002-05-29,2022-07-22,Q12611331-9E0C37D4-EC31-422A-836E-337AB410660A
Q12596508,Park Kwan-yong,2002-07-08,2004-05-29,2022-07-22,Q12596508-C5D01581-2A3E-4F09-B00B-DCCD00C152D0
Q623670,Kim Won-ki,2004-06-05,2006-05-29,2022-07-22,Q623670-BA86B46A-C546-421D-92E5-1E06ECDD387E
Q12613984,Lim Chae-jung,2006-06-19,2008-05-29,2022-07-22,Q12613984-FF54AC5D-AA16-4506-A9CB-2F3273881FF4
Q87652783,Kim Hyong-o,2008-07-10,2010-05-29,2022-07-22,Q87652783-ED02C41F-06B6-4324-990B-7E459577BE0C
Q6783852,Park Hee-tae,2010-06-08,2012-02-27,2022-07-22,Q6783852-2615BDA2-80B1-4C8F-8B56-888BFCFCB2BF
Q12615929,Chung Eui-hwa,2012-02-27,2012-05-29,2022-07-22,Q12615929-F0601467-000D-473D-B826-E2D0DF19DFFA
Q12583135,Kang Chang-hee,2012-07-02,2014-05-29,,Q12583135-fa3dd568-4b11-16a5-dd1f-294c4bd458e1
Q12615929,Chung Eui-hwa,2014-05-30,2016-05-29,2022-07-22,Q12615929-07BF7160-467E-4E94-9CFD-35725739F3E1
Q11270093,Chung Sye-kyun,2016-06-09,2018-05-31,,Q11270093-999CE84C-CFC8-4BF0-B625-6613AEB8EA16
Q12595907,Moon Hee-sang,2018-07-13,2020-05-29,,Q12595907-94784452-9ADC-4BF4-8D7F-6E74165BEDFF
Q16079899,Park Byeong-seug,2020-06-05,2022-05-29,,Q16079899-d3d60570-4b46-3f07-de43-0876dfcdac09
Q10855898,Kim Jin-pyo,2022-07-04,,,Q10855898-271b4bbf-480d-65c3-b0b6-cc45f09da92e
