@@,itemlabel,item,startdate,enddate
+++,조철권,Q16091951,1985-01-01,1985-02-18
+++,최종호,Q97225122,1985-02-19,1986-01-07
+++,김근수,,1986-01-08,1988-02-24
+++,전석홍,Q19162007,1988-02-25,1988-12-05
+++,이상연,Q41949104,1988-12-06,1990-12-26
+++,민경배,,1990-12-27,1993-02-25
+++,이병태,,1993-02-26,1993-12-21
+++,이충길,,1993-12-22,1994-12-23
+++,황창평,Q39040357,1994-12-24,1996-12-19
+++,오정소,Q16090344,1996-12-20,1997-03-05
+++,박상범,Q17487147,1997-03-06,1998-03-03
+++,김의재,,1998-03-04,1998-03-08
+++,김의재,,1998-03-09,1999-03-02
+++,조병세,Q12616694,1999-03-03,1999-03-05
+++,최규학,,1999-03-06,2000-08-28
+++,김유배,,2000-08-29,2001-04-01
+++,이재달,,2001-04-02,2003-03-03
+++,안주섭,Q16084791,2003-03-03,2004-09-23
+++,박유철,Q16094929,2004-09-24,2007-04-19
+++,김정복,Q16080386,2007-04-20,2008-02-28
+++,김양,Q16080301,2008-02-29,2011-02-23
+++,박승춘,Q16081832,2011-02-24,2017-05-11
+++,최완근,,2017-05-12,2017-05-16
+++,피우진,Q18444725,2017-05-17,2019-08-14
+++,박삼득,Q81226575,2019-08-16,2020-12-30
->,황기철,Q16092691,2020-12-31,NULL->2020-12-31
