name,position
Kim Boo-kyum,Prime Minister
Hong Nam-ki,Deputy Prime Minister
Hong Nam-ki,Minister of Economy and Finance
Yoo Eun-hae,Deputy Prime Minister
Yoo Eun-hae,Minister of Education
Lim Hyesook,Minister of Science and ICT
Chung Eui-yong,Minister of Foreign Affairs
Lee In-Young,Minister of Unification
Park Beom-Kye,Minister of Justice
Suh Wook,Minister of National Defense
Jeon Hae-cheol,Minister of the Interior and Safety
Hwang Hee,"Minister of Culture, Sports and Tourism"
Kim Hyeonsoo,"Minister of Agriculture, Food and Rural Affairs"
Moon SungWook,"Minister of Trade, Industry and Energy"
Kwon Deok-cheol,Minister of Health and Welfare
Han Jeoung Ae,Minister of Environment
An Kyung-duk,Minister of Employment and Labor
Chung Young-ai,Minister of Gender Equality and Family
Noh Hyeong-ouk,"Minister of Land, Infrastructure and Transport"
Moon Seong-hyeok,Minister of Oceans and Fisheries
Kwon Chil-seung,Minister of SMEs and Startups
