item,itemLabel,startDate,endDate
,Jin Nyum,2001-01-29,2002-04-15
,Han Wan-sang,2001-01-29,2002-01-29
,Lee Sang-joo,2002-01-29,2003-03-06
,Jeon Yun-Churl,2002-04-15,2003-02-25
Q10855898,Kim Jin-pyo,2003-02-25,2004-02-10
,Yoon Deok-hong,2003-03-07,2003-12-24
,Ahn Byung-young,2003-12-24,2005-01-05
Q3565102,Lee Hun-jai,2004-02-10,2005-03-07
,Oh Myung,2004-10-18,2006-02-10
,Lee Ki-jun,2005-01-05,2005-01-11
,Kim Young-sik,2005-01-11,2005-01-28
Q10855898,Kim Jin-pyo,2005-01-28,2006-07-21
,Kim Woo-sik,2006-02-10,2008-02-29
Q356666,Han Duck-soo,2005-03-14,2006-07-18
,Kwon O-kyu,2006-07-18,2008-02-29
Q624537,Kim Byong-joon,2006-07-21,2006-08-09
,Lee Jong-seo,2006-08-09,2006-09-20
,Kim Shin-il,2006-09-20,2008-02-06
,Seo Nam-soo,2008-02-06,2008-02-25
,Seo Nam-soo,2008-02-25,2008-02-29
,Hyun Oh-seok,2013-03-22,2014-07-15
Q5103931,Choi Kyoung-hwan,2014-07-15,2016-01-12
Q4392537,Hwang Woo-yea,2014-11-19,2016-01-12
Q16090573,Yoo Il-ho,2016-01-13,2017-03-10
,Lee Joon-sik,2016-01-13,2017-03-10
Q16090573,Yoo Il-ho,2017-03-10,2017-05-11
,Lee Joon-sik,2017-03-10,2017-05-11
Q16090573,Yoo Il-ho,2017-05-11,2017-06-10
Q16080198,Kim Dong-yeon,2017-06-10,2018-12-10
Q31180640,Hong Nam-ki,2018-12-10,2022-05-09
,Lee Joon-sik,2017-05-11,2017-07-05
Q16080247,Kim Sang-gon,2017-07-05,2018-10-02
Q16079929,Yoo Eun-hae,2018-10-02,2022-05-09
Q12619978,Choo Kyung-ho,2022-05-10,
,Park Soon-ae,2022-07-04,
