item,itemLabel,startDate,endDate,sourceDate,psid
Q4392537,황우여,2014-11-19,2016-01-12,2022-07-14,Q4392537-8AAA15DA-5F17-4A1C-A9F4-E7BB13638AB1
Q22083389,이준식,2016-01-13,2017-07-04,2022-07-14,Q22083389-9AF84558-8D5B-42CC-B9B5-3EC77F3D9632
Q16080247,김상곤,2017-07-04,2018-10-02,,Q16080247-e8237302-40dd-35fb-f2b0-6de580c55408
Q16079929,유은혜,2018-10-02,2022-05-09,,Q16079929-B1803185-8A07-4BA4-93E1-909CA08FC84E
Q112023728,장상윤,2022-05-10,2022-07-04,2022-07-14,Q112023728-93D2738A-FE47-442B-A67B-46ADF8032040
Q112131619,박순애,2022-07-04,,,Q112131619-d8026a5a-4ded-d8ff-66bd-e2b77addd78a
