item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,sourceDate,source,psid
Q12586585,금태섭,,,Q31180240,강서구 갑,2016-05-30,2020-05-29,male,,,Q12586585-ED9E2D2F-59D9-4C2C-9E78-16675B6A5163
Q12586962,김광림,,,Q50501792,경상북도 안동시,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12586962-AAA867C9-6D47-4FC9-9120-343F6621A5B1
Q12587395,김민기,,,Q50503543,용인시 을,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12587395-b4dc24ab-42cf-6f0e-1fee-75107866776a
Q12587534,김부겸,,,Q31179587,수성구 갑,2016-05-30,2020-05-29,male,,,Q12587534-c2d3ac2a-43c8-f3f2-6b16-5cf85b015f52
Q12587629,김상희,,,Q50503285,부천시 소사구,2016-05-30,2020-05-29,female,,,Q12587629-e97796bc-494d-e36e-da22-e05cfaae08b3
Q12587661,김선동,,,Q31180310,도봉구 을,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12587661-42F99D1F-7116-438E-BB24-F7B5BE178593
Q12587723,김성수,,,Q50506172,비례대표 국회의원 선거구,2016-05-30,2020-01-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12587723-DE29EFC7-5FCE-4500-99A4-2B9916F88DE2
Q12587732,김성식,,,Q31180230,관악구 갑,2016-05-30,2020-05-29,male,,,Q12587732-C7DBCB53-21DA-4C77-8F6F-9149FB36EFEE
Q12587759,김성찬,,,Q31179711,창원시 진해구,2016-05-30,2020-05-30,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12587759-2A342AB9-0961-47E8-A3D8-DD780332E20F
Q12587766,김성태,,,Q31180258,강서구 을,2016-05-30,2020-05-29,male,,,Q12587766-88316B70-00BC-40E7-88FB-F8BAFC78FD0E
Q12587781,김성환,Q15978686,더불어민주당,Q31180280,노원구 병,2018-06-14,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12587781-3898065b-466a-dbd3-0bea-56abdc992e1e
Q12588053,김영우,,,Q50504204,포천시·가평군,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12588053-8B3E88CA-3518-40EB-BA7E-ADE23FD01169
Q12588095,김영춘,,,Q31179799,부산진구 갑,2016-05-30,2020-05-29,male,,,Q12588095-058A0847-EDBF-4A58-BCE5-0352EF2CCE76
Q12588221,김용태,,,Q31180194,양천구 을,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12588221-43B141A1-7DB8-48CE-8020-42FAD959EB4C
Q12588496,김재원,,,Q50502452,경상북도 상주시군위군의성군청송군,2017-04-13,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12588496-2D59F689-362C-4E8F-BC88-9A5F0D145B08
Q12588607,김정훈,,,Q31179803,남구 갑,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12588607-CA816394-9F7C-44C6-9940-B9465968C591
Q12588667,김종석,,,,,2016-05-30,2020-05-29,male,,,Q12588667-E0DCACAF-1B84-4316-8F48-B1D103C739D7
Q12588973,김철민,,,Q50504393,안산시 상록구 을,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12588973-C0A7DDC9-C250-46F5-B64E-ADF8BBDC68BE
Q12589137,김학용,,,Q50499256,안성시,2016-05-30,2020-05-29,male,,,Q12589137-8FC52F35-41DA-44DA-9FE3-8A0A699E6003
Q12590416,노웅래,,,Q31180276,마포구 갑,2016-05-30,2020-05-29,male,,,Q12590416-0B26D51C-E6FF-432A-B808-9F987A066066
Q12593087,도종환,,,Q50498937,충청북도 청주시흥덕구,2016-05-30,2020-05-29,male,,,Q12593087-c13b9b6e-4812-60b3-5101-f666c1e579fa
Q12595907,문희상,,,Q50500244,의정부시 갑,2016-05-30,2020-05-29,male,,,Q12595907-823C7F66-E33A-4A0C-8BAE-3F4A077C6E24
Q12596213,민병두,,,Q31180275,동대문구 을,2016-05-30,2020-05-29,male,,,Q12596213-A44EE201-0FFF-4ADA-A3F2-19E08A73A723
Q12596512,박광온,,,Q50502057,수원시 정,2016-05-30,2020-05-29,male,,,Q12596512-74F61AFF-2A14-4FD6-B371-428CCCD67DB9
Q12596659,박범계,,,Q31179394,서구 을,2016-05-30,2020-05-29,male,,,Q12596659-58c7a009-4da2-5993-f338-c5e1199db275
Q12596735,박선숙,,,Q50506172,비례대표 국회의원 선거구,2016-05-30,2020-05-29,female,,,Q12596735-82C1A73A-566E-404C-9A9D-0E500BB3D315
Q12597014,박인숙,,,Q31180200,송파구 갑,2016-05-30,2020-05-29,female,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12597014-0653E7C6-77FF-423B-A558-86772E393D5C
Q12597136,박주선,,,Q31179418,동구·남구 을,2016-05-30,2020-05-29,male,,,Q12597136-F50B9CD1-A076-45ED-A442-CE10B6BF84FB
Q12597165,박준영,,,Q50501112,전라남도 영암군무안군신안군,2016-05-30,2018-02-08,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12597165-5295491B-5FDA-4ABC-9E3E-14950CC5780C
Q12597619,배덕광,,,Q31179726,해운대구 을,2016-05-30,2018-01-29,male,,,Q12597619-055C3C45-8B59-4B19-98B2-B90F34E24D90
Q12597908,백재현,,,Q50500085,광명시 갑,2016-05-30,2020-05-29,male,,,Q12597908-669e597e-4dce-43f5-0d86-a95d94dff4c2
Q12598204,변재일,,,Q50499782,충청북도 청주시 청원구,2016-05-30,2020-05-29,male,,,Q12598204-bbb49c64-4f34-c228-39ca-73a95a3c6cd8
Q12601044,서영교,,,Q31180272,중랑구 갑,2016-05-30,2020-05-29,female,,,Q12601044-16656932-1692-42C1-AD0D-F0844AC73F9F
Q12601823,설훈,,,Q50501503,부천시 원미구 을,2016-05-30,2020-05-29,male,,,Q12601823-614b5f4b-44ae-1828-f062-7d7deae406c9
Q12604323,신상진,,,Q50501917,성남시 중원구,2016-05-30,2020-05-29,male,,,Q12604323-27136597-4e1f-bd5d-3658-beea9aa8edfa
Q12604911,심재권,,,Q31180201,강동구 을,2016-05-30,2020-05-29,male,,,Q12604911-BA6608F5-A081-495E-80C8-155C2D917D53
Q12606637,엄용수,,,Q31179685,밀양시·의령군·함안군·창녕군,2016-05-30,2019-11-15,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12606637-B2F2BADB-F5F8-443A-AE93-C8F3C567F944
Q12608054,오제세,,,Q50502405,충청북도 청주시서원구,2016-05-30,2020-05-29,male,,,Q12608054-a5fe1634-43be-9db3-79c4-124ae0e43f22
Q12609323,원유철,,,Q50501196,평택시 갑,2016-05-30,2020-05-29,male,,,Q12609323-158B39E9-9A83-41DE-B300-93E7B1C32AA4
Q12609690,유기준,,,Q31179796,서구·동구,2016-05-30,2020-05-29,male,,,Q12609690-B7D3F1A8-8105-447F-8FF8-3E7D08BA03BB
Q12609867,유승민,,,Q31179578,동구 을,2016-05-30,2020-05-29,male,,,Q12609867-3526489D-10D1-4FFF-88A0-DDC3EA423615
Q12609873,유승희,,,Q31180342,성북구 갑,2016-05-30,2020-05-29,female,,,Q12609873-35144EE7-5AB3-4FB2-B1B7-C1C31294EEAA
Q12610280,윤상직,,,Q31179742,기장군,2016-05-30,2020-05-29,male,,,Q12610280-6E770D15-3150-46EA-85A9-45986640A5B6
Q12610368,윤영석,,,Q31179701,양산시 갑,2016-05-30,2020-05-29,male,,,Q12610368-7d4a0856-47a5-108b-7d13-8d6b7e5856e5
Q12610412,윤재옥,,,Q31179589,달서구 을,2016-05-30,2020-05-29,male,,,Q12610412-95fd99d2-484e-d0c3-ff16-9e950af9420b
Q12610532,윤호중,,,Q50609569,구리시,2016-05-30,2020-05-29,male,,,Q12610532-8c6df586-4c51-ef4c-0c1d-2bff697676fa
Q12610540,윤후덕,,,Q50502426,파주시 갑,2016-05-30,2020-05-29,male,,,Q12610540-37b9a3bc-4c54-2e2c-33a8-98a656914965
Q12611004,이군현,,,Q31179699,통영시·고성군,2016-05-30,2018-12-27,male,,,Q12611004-FC3091C6-EECB-437A-8EA1-25E45E4CFF85
Q12611365,이명수,,,Q50504061,아산시 갑,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12611365-b857bbf3-4acf-42b0-4bc9-efd4b5ff0553
Q12611638,이상민,,,Q31179330,유성구 을,2016-05-30,2020-05-29,male,,,Q12611638-e4482924-44bc-7df9-903e-882c9a1e2c10
Q12611720,이석현,,,Q50500129,안양시 동안구 갑,2016-05-30,2020-05-29,male,,,Q12611720-681deedb-4464-0c52-c68c-39e689b303a1
Q12612008,이언주,,,Q50499399,광명시 을,2016-05-30,2020-05-29,female,,,Q12612008-455AF36A-B398-4036-8672-1E6F66F614D5
Q12612211,이우현,,,Q50503634,용인시 갑,2016-05-30,2019-05-30,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12612211-2E3E1331-665E-49FC-A2C5-79875473B8A4
Q12612338,이은재,,,Q31180373,강남구 병,2016-05-30,2020-05-29,female,,,Q12612338-DFEDEFEB-CB06-46B1-9C00-E2D8421738CB
Q12612437,이장우,,,Q31179349,동구,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12612437-8cf8ffa6-42a6-d6b9-13a1-f53ba64fdf11
Q12612629,이종구,,,Q31180250,강남구 갑,2016-05-30,2020-05-29,male,,,Q12612629-C251DF64-98AA-4114-847B-FF5077212419
Q12612642,이종배,,,Q50504406,충청북도 충주시,2016-05-30,2020-05-29,male,,,Q12612642-b5c8b4d8-40c6-845f-c5d6-cec83b88dc18
Q12612708,이주영,,,Q31179691,창원시 마산합포구,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12612708-F6A07B9D-9627-4FCE-A0CA-6C1868D7D85F
Q12612887,이채익,,,Q31179331,남구 갑,2016-05-30,2020-05-29,male,,,Q12612887-7f4fd95a-4c6e-3602-ba6e-5163bc9a953b
Q12612920,이철희,,,,,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12612920-14a25cca-49c3-98f7-0170-610d4894efe4
Q12612934,이춘석,,,Q50499707,익산시 갑,2016-05-30,2020-05-29,male,,,Q12612934-467683B7-C4D5-4A2A-BFBB-FA2CA92AA0E1
Q12613110,이헌승,,,Q31179776,부산진구 을,2016-05-30,2020-05-29,male,,,Q12613110-7435bed7-4e10-986d-61ae-80e8a6829659
Q12613145,이현재,,,Q50609637,하남시,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12613145-D4A02557-ECDB-4F87-923E-C08431A60978
Q12614683,장제원,,,Q31179743,사상구,2016-05-30,2020-05-29,male,,,Q12614683-f7f74883-4b86-a694-c191-e334acf4bd5c
Q12615269,전재수,,,Q31179722,북구·강서구 갑,2016-05-30,2020-05-29,male,,,Q12615269-2dc3ecb7-426f-5b66-df1a-fc84f154bcca
Q12615381,전현희,,,Q31180239,강남구 을,2016-05-30,2020-05-29,female,,,Q12615381-142FFA29-3B48-4D4A-A97F-D98872DB878A
Q12615445,정갑윤,,,Q31179309,중구,2016-05-30,2020-05-29,male,,,Q12615445-5d8154aa-4a86-2e2b-ec63-9474d14580e2
Q12615620,정병국,,,Q50499189,여주시·양평군,2016-05-30,2020-05-29,male,,,Q12615620-0D34E5C1-B7C8-4503-B0DC-4B925ED40BBF
Q12615823,정양석,,,Q31180333,강북구 갑,2016-05-30,2020-05-29,male,,,Q12615823-B79E3A85-8C56-45FC-B965-F52F8C44E177
Q12615854,정용기,,,Q31179329,대덕구,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12615854-C2A88FBE-9215-4154-AFD5-93E773CA9358
Q12615868,정우택,,,Q50401,상당구,2016-05-30,2020-05-29,male,,,Q12615868-e9f8a224-48a3-b393-ecbd-ec00530df313
Q12615874,정운천,,,Q50500618,전주시 을,2016-05-30,2020-05-29,male,,,Q12615874-61A7C366-F779-4E15-9484-B2B18C03B4DE
Q12615902,정은혜,,,Q50506172,비례대표 국회의원 선거구,2019-10-11,2020-05-29,female,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12615902-264a7e99-4331-2343-f185-a7ce327b34fc
Q12616038,정진석,,,Q50501135,충청남도 공주시부여군청양군,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12616038-49d42746-4feb-b3f0-b371-a35270fb7bfd
Q12616088,정춘숙,,,Q50506172,비례대표 국회의원 선거구,2016-05-30,2020-05-29,female,,,Q12616088-7F3F9EF9-213E-4C79-BCE6-BAAA60449535
Q12616567,조경태,,,Q31179725,사하구 을,2016-05-30,2020-05-29,male,,,Q12616567-57646ee6-4f10-1303-0831-824aaaadc944
Q12616687,조배숙,,,Q50499486,익산시 을,2016-05-30,2020-05-29,female,,,Q12616687-C2EF4BF5-607B-4365-9545-001D489D0E9E
Q12616968,조원진,,,Q31179618,달서구 병,2016-05-30,2020-05-29,male,,,Q12616968-FCDA7D34-14C6-4285-A637-3D3C42F052D8
Q12617041,조정식,,,Q50503439,시흥시 을,2016-05-30,2020-05-29,male,,,Q12617041-e4abe902-4def-e901-36c1-60750baff3a3
Q12617313,주광덕,,,Q50503071,남양주시 병,2016-05-30,2020-05-29,male,,,Q12617313-02F25713-C9EA-4BD3-A331-0896AD9CEA78
Q12617384,주승용,,,Q50502693,전라남도 여수시을,2016-05-30,2020-05-29,male,,,Q12617384-8080b3ce-44ec-dc16-d471-86ca3c8d465b
Q12617992,지상욱,,,Q31180356,중구·성동구 을,2016-05-30,2020-05-29,male,,,Q12617992-1cb640c5-4038-e895-4d8e-7303275b34ad
Q12618257,진선미,,,Q31180202,강동구 갑,2016-05-30,2020-05-29,female,,,Q12618257-284858A3-8098-42B0-92FA-3ED4C38C9BDB
Q12618296,진영,,,Q31180236,용산구,2016-05-30,2020-05-29,male,,,Q12618296-76F30859-996A-4951-9110-A8FFE0F060C3
Q12618957,천정배,,,Q31179436,서구 을,2016-05-30,2020-05-29,male,,,Q12618957-21ACDCD7-2395-4432-B5D4-EBF7E4F45C1F
Q12619978,추경호,,,Q31179594,달성군,2016-05-30,2020-05-29,male,,,Q12619978-FF97EDF1-7F2A-4867-BE07-FAA3E707B943
Q12622026,표창원,,,Q50504372,용인시 정,2016-05-30,2020-05-29,male,,,Q12622026-AC3B3FE2-87B4-4386-9D41-A56F4DC6165C
Q12622556,하태경,,,Q31179721,해운대구 갑,2016-05-30,2020-05-29,male,,,Q12622556-d87473b6-4238-60fb-eb31-0f64a5592c64
Q12624094,한선교,,,Q50502084,용인시 병,2016-05-30,2020-05-29,male,,,Q12624094-FE0B6EFB-E02A-42AD-8F7B-9D4DFE868B0B
Q12624300,한정애,,,Q31180254,강서구 병,2016-05-30,2020-05-29,female,,,Q12624300-3DC315CE-CC75-4ED6-BDB8-72589AD12575
Q12625372,홍문종,,,Q50500695,의정부시 을,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12625372-222fc92b-4928-58cd-6e1e-4e59b0d6302d
Q12625446,홍영표,,,Q31179622,부평구 을,2016-05-30,2020-05-29,male,,,Q12625446-e641d00e-40c3-e511-57ce-98945e393f9e
Q12625469,홍익표,,,Q31180365,중구·성동구 갑,2016-05-30,2020-05-29,male,,,Q12625469-6AA51FE3-9591-4F30-9CCB-3F4E07C2A0B6
Q12625477,홍일표,,,Q31179648,미추홀구 갑,2016-05-30,2020-05-29,male,,,Q12625477-7D188E1E-F1A7-489A-85E1-7EE936E44E86
Q12625864,황영철,,,Q50503392,강원도 홍천군철원군화천군양구군인제군,2016-05-30,2019-10-31,male,,,Q12625864-4A629E55-7C8A-44A7-829E-833024297C44
Q12625912,황주홍,,,Q50500461,전라남도 고흥군보성군장흥군강진군,2016-05-30,2020-05-29,male,,,Q12625912-8C4D068C-0908-4C32-8E06-372D3432D299
Q14444444,최연혜,,,,,2016-05-30,2020-05-29,female,,,Q14444444-FB5EE5F7-C3AD-46E4-828F-A067178BD038
Q16079799,안민석,,,Q50499507,오산시,2016-05-30,2020-05-29,male,,,Q16079799-bb9b4f74-45fc-ebc4-4550-29b63b6dba70
Q16079857,곽상도,,,Q31179716,중구·남구,2016-05-30,2020-05-29,male,,,Q16079857-9d43fa27-461b-940b-8ce9-4fba6c4af38f
Q16079861,김경협,,,Q50500194,부천시 원미구 갑,2016-05-30,2020-05-29,male,,,Q16079861-d8dffade-4f86-b4c3-9981-2d744f9a1f50
Q16079862,김관영,,,Q50502354,전라북도 군산시,2016-05-30,2020-05-29,male,,,Q16079862-FC2B10D5-8023-466F-8399-2C9C7E12F49D
Q16079899,박병석,,,Q31179430,서구 갑,2016-05-30,2020-05-29,male,,,Q16079899-18841423-4f4d-f2bf-a5d5-0a20d502b20a
Q16079903,박찬우,,,Q50499163,천안시 갑,2016-05-30,2018-02-13,male,,,Q16079903-48B08788-5BBB-417C-80E1-36718A13A294
Q16079924,양승조,,,Q50499854,천안시 병,2016-05-30,2018-05-14,male,,,Q16079924-EBC74F9F-28E3-43EC-93A9-EFC8730CC97B
Q16079929,유은혜,,,Q50502759,고양시 병,2016-05-30,2020-05-29,female,,,Q16079929-1593F8B6-FA9E-4075-B38D-5540E28856E7
Q16079938,이용득,,,,,2016-05-30,2020-05-29,male,,,Q16079938-9E7624BE-6714-4EC4-B2F2-75833244DDA7
Q16079943,이종걸,,,Q50500753,안양시 만안구,2016-05-30,2020-05-29,male,,,Q16079943-fa56d9ce-440a-ff5f-e89b-70f468d61d10
Q16080013,강석호,,,Q50499910,경상북도 영양군영덕군봉화군울진군,2016-05-30,2020-05-29,male,,,Q16080013-98F6E6D3-387B-4E67-880B-F4312A9CE402
Q16080052,경대수,,,Q50500333,충청북도 증평군진천군음성군,2016-05-30,2020-05-29,male,,,Q16080052-30d62a13-4165-2019-c169-8fff9d512789
Q16080079,곽대훈,,,Q31179591,달서구 갑,2016-05-30,2020-05-29,male,,,Q16080079-A9E2F221-1CC9-4143-A82E-9B3FA59F40B3
Q16080109,권성동,,,Q50499112,강원도 강릉시,2016-05-30,2020-05-29,male,,,Q16080109-3d61ee4f-41ac-5f41-5c81-7c6cc9d463eb
Q16080166,김기선,,,Q50500286,원주시 갑,2016-05-30,2020-05-29,male,,,Q16080166-CD809F3E-1F3C-499E-9C35-7923C32613E1
Q16080185,김도읍,,,Q31179784,북구·강서구 을,2016-05-30,2020-05-29,male,,,Q16080185-4723c88c-43b4-2e1d-1e9c-0ff667933a1e
Q16080202,김동철,,,Q31179435,광산구 갑,2016-05-30,2020-05-29,male,,,Q16080202-359F31E1-A1C0-4CEF-B018-804DFA263D5F
