item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,sourceDate,source,psid
Q10855142,강창일,Q15978686,더불어민주당,Q31178892,제주시 갑,2016-05-30,2020-05-29,male,,,Q10855142-FCB3F230-352D-4C79-8674-230E02736BDD
Q10855898,김진표,,,Q50504174,수원시 무,2016-05-30,2020-05-29,male,,,Q10855898-1618A9B2-9A5A-4108-B010-90DFE50A7903
Q11255427,심상정,Q487520,정의당,Q50242265,고양시 갑,2016-05-30,2020-05-29,female,,,Q11255427-15085B10-1928-48BD-BF15-27801C4AB334
Q11263813,원혜영,,,Q50500796,부천시 오정구,2016-05-30,2020-05-29,male,,,Q11263813-48a24f5f-4e95-4a8f-fc4d-eaa695181306
Q11270093,정세균,Q15978686,더불어민주당,Q31180193,종로구선거구,2016-05-30,2020-05-29,male,,,Q11270093-35F1865C-89FD-43B2-92F4-3B22E3CDC76B
Q11274387,추미애,,,Q31180243,광진구 을,2016-05-30,2020-05-29,female,,,Q11274387-1C551C20-7BB8-42D5-9E7D-7AB08AE0FDB7
Q11521597,박영선,,,Q31180213,구로구 을,2016-05-30,2020-05-29,female,,,Q11521597-D7C2E84C-6B5A-4F59-B419-41F9EADB38E9
Q11986047,박맹우,,,Q31179339,남구 을,2016-05-30,2020-05-29,male,,,Q11986047-5EA8C7B7-9ECA-4DAB-9A5D-88910A73C0ED
Q12582750,강길부,,,Q31179314,울주군,2016-05-30,2020-05-29,male,,,Q12582750-2372D848-9328-48DB-9FE0-53900D463E60
Q12582922,강석진,,,Q31179689,산청군·함양군·거창군·합천군,2016-05-30,2020-05-29,male,2022-08-01,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%9C20%EB%8C%80_%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90_%EB%AA%A9%EB%A1%9D_(%EC%A7%80%EC%97%AD%EA%B5%AC%EB%B3%84),Q12582922-8B10D3F2-7AD5-4748-9366-F6956BA2004B
Q12586127,권은희,,,Q31179431,광산구 을,2016-05-30,2020-05-29,female,,,Q12586127-8e582586-4b93-d7b0-5e69-6ebd7aaa4250
