itemLabel,url
AHN CHEOLSOO,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=sYRde0JJy%2Bo%3D
AHN GYUBACK,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=CZZ%2FXtMzG6I%3D
AN BYUNGGIL,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=Dk9I3JdkdOE%3D
AN HOYOUNG,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=%2FOBFnd0w2GI%3D
AN MINSUK,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=%2FHudQcuH%2Fa8%3D
BACK HYERYUN,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=YC8sNYvCc8E%3D
BAE HYUNJIN,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=XKHGb%2BQW5EE%3D
BAE JINGYO,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=FZ8rSSgRmPA%3D
BAE JUNEYOUNG,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=cjKGQfFJN5s%3D
BAEK JONGHEAN,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=2b4CJrS6wVg%3D
BYUN JAEILL,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=ynMOKqv1IRs%3D
CHANG JEWON,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=tmbA3bL1uqk%3D
CHEON JUNHO,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=Cr9MEdlgOxI%3D
CHO EUNGCHEON,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=ERcEIVb5gik%3D
CHO HAEJIN,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=F01zj7OL0Do%3D
CHO JEONGSIK,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=%2FENAVizDEtU%3D
CHO JUNGHUN,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=INWGcIv3FKA%3D
CHO KYOUNGTAE,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=SGohadE0PYw%3D
CHO SUJIN,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=UgBaVzReAvI%3D
CHOE KANGWOOK,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=A8%2FQhaccxyc%3D
CHOEJAEHYEONG,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=cwVEhRAN9AE%3D
CHOEUNHEE,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=7eRgRGiWwvM%3D
CHOI CHUNSIK,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=aMdpt5TpioQ%3D
CHOI HYEYOUNG,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=7AoK4A59vtU%3D
CHOI HYUNGDU,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=o7hrHoQdx1Y%3D
CHOI INHO,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=C8pxmmqA5Lc%3D
CHOI JONGYOON,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=4%2FAsetNtbPs%3D
CHOI KISANG,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=S4HnwsOdQdY%3D
CHOI SEUNGJAE,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=LqRI2TOQ7P4%3D
CHOI YOUNGHEE,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=4ldzomIMnb8%3D
CHOI YOUNSUK,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=QfSsVotAroo%3D
CHOO KYUNGHO,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=1C9clvPUUvM%3D
CHULMIN JANG,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=LBkUIdwphUI%3D
CHUN JAESOO,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=W28aMsQHTLo%3D
CHUNG ILYOUNG,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=%2FbybTf0Xsw0%3D
