item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,url,gender,sourceDate,source,psid
Q20995,AHN CHEOLSOO,,,Q50500841,,2022-06-02,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=sYRde0JJy%2Bo%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q20995-795d0467-4842-524f-e1a0-e83e7f5e99dd
Q16168735,AHN GYUBACK,,,Q31180279,Dongdaemun A,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=CZZ%2FXtMzG6I%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q16168735-bf323c65-4b6b-9981-1386-9effe4b5b45e
Q93759098,AN BYUNGGIL,,,Q31179796,"Seo–Dong, Busan",2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=Dk9I3JdkdOE%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q93759098-DC6835A8-F7DC-4433-86DC-0273813DC810
Q22974407,AN HOYOUNG,,,Q50500166,,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=%2FOBFnd0w2GI%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q22974407-e470e7cc-440a-2871-cffc-e1f6cd2447ed
Q16079799,AN MINSUK,,,Q50499507,,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=%2FHudQcuH%2Fa8%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q16079799-754AB92C-416F-405E-B47F-5E7E5417321F
Q17401310,BACK HYERYUN,,,Q50502229,,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=YC8sNYvCc8E%3D,female,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q17401310-f293923e-469d-2c5c-a4c9-3ca5af33121e
Q4841199,BAE HYUNJIN,,,Q31180205,"Baehyeonjin, Songpa-gu",2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=XKHGb%2BQW5EE%3D,female,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q4841199-5FC14BC8-D9D1-4300-94CF-4B3B30289D45
Q12597685,BAE JINGYO,,,Q50506172,PR assembly constituency in South Korea,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=FZ8rSSgRmPA%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q12597685-54B5DFFF-40D8-4BCB-9B63-B9BBF773015B
Q93757756,BAE JUNEYOUNG,,,Q93827983,,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=cjKGQfFJN5s%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q93757756-6EDEC11D-6F73-47A1-A8AE-79BF497321FE
Q31180679,BAEK JONGHEAN,,,Q31179733,,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=2b4CJrS6wVg%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q31180679-E3291ECE-7CB5-45EA-878D-4010D303FB71
Q12598204,BYUN JAEILL,,,Q50499782,,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=ynMOKqv1IRs%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q12598204-90A7E1ED-DB42-45F6-A367-4274C62F43F8
Q12614683,CHANG JEWON,,,Q31179743,,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=tmbA3bL1uqk%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q12614683-DBFAC114-BDBB-4668-AD5D-725FC60BC61A
Q23996156,CHEON JUNHO,,,Q31180333,,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=Cr9MEdlgOxI%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q23996156-4A5F69FC-1DC4-401E-BE76-86E2BBE9DEA5
Q24000517,CHO EUNGCHEON,,,Q50500923,,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=ERcEIVb5gik%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q24000517-0fadf7d4-4fc5-8bb9-cfef-49ea909ee860
Q12617148,CHO HAEJIN,,,Q31179685,,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=F01zj7OL0Do%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q12617148-D8869333-519A-4DCD-A0B6-7A5A94C06534
Q12617041,CHO JEONGSIK,,,Q50503439,,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=%2FENAVizDEtU%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q12617041-49F44C75-31A6-4EA9-B3F9-2F6C2DAC4525
Q93758762,CHO JUNGHUN,,,Q50506172,PR assembly constituency in South Korea,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=INWGcIv3FKA%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q93758762-8354BEAC-8665-4478-A2E9-37694E2C7171
Q12616567,CHO KYOUNGTAE,,,Q31179725,,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=SGohadE0PYw%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q12616567-4940F7FF-13DB-4282-8441-29AA98A556DA
Q93751737,CHO SUJIN,,,Q50506172,PR assembly constituency in South Korea,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=UgBaVzReAvI%3D,female,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q93751737-265623AB-D3A5-4E9E-A66C-14C5664B85B6
Q31175893,CHOE KANGWOOK,,,Q50506172,PR assembly constituency in South Korea,2020-05-30,,https://korea.assembly.go.kr:447/mem/mem_pro.jsp?mem_code=A8%2FQhaccxyc%3D,male,2022-08-01,https://korea.assembly.go.kr:447/mem/mem_01.jsp,Q31175893-D701854B-409A-45F7-B3C8-1887FC144BF1
