position,title
Q6296418,President
Q15407843,Prime Minister
Q18388356,Deputy Prime Minister
Q16176423,"Minister of Agriculture, Food and Rural Affairs"
Q12592439,"Minister of Culture, Sports and Tourism"
Q12592405,Minister of Defence
Q12592394,Minister of Education
Q12592375,Minister of Employment and Labour
Q12592566,Minister of the Environment
Q12592471,Minister of Finance
Q109628261,Minister of Food and Drink Safety
Q12592509,Minister of Foreign Affairs
Q16177057,Minister of Gender Equality and Family
Q109628235,Minister for Government Legislation
Q12592403,Minister for Government Policy Coordination
Q16176751,Minister of Health and Welfare
Q12592496,Minister of the Interior and Safety
Q12592448,Minister of Justice
Q12592410,"Minister of Land, Infrastructure and Transport"
Q12592560,Minister of Oceans and Fisheries
Q12592397,Minister of Patriots and Veterans Affairs
Q109628214,Minister of Personnel Management
Q12592549,Minister of Reunification
Q12592441,Minister of Science and ICT
Q12592533,Minister of SMEs and Startups
Q16176893,"Minister of Trade, Industry and Energy"
Q625365,Speaker of the National Assembly
Q16168631,Governor of the Bank of Korea
Q16178356,Chairman of the Financial Services Commission
Q12592557,Chairman of the Joint Chiefs of Staff
Q30521859,Prosecutor General
Q12592423,Chief of Staff to the President
Q29906210,Chief Presidential Secretary for Policy
Q109628104,Director of the National Security Office
Q109628468,Director of the National Intelligence Service
Q109628278,Chair of the Fair Trade Commission
Q488289,Mayor of Seoul
