item,itemLabel,startDate,endDate
,Cho Yung-kil,1999-10-26,2001-10-08
,Lee Nam-shin,2001-10-08,2003-04-07
,Kim Jong-hwan,2003-04-07,2005-04-07
Q492660,Lee Sang-hee,2005-04-07,2006-11-17
Q486034,Kim Kwan-jin,2006-11-17,2008-03-25
Q486900,Kim Tae-young,2008-03-28,2009-09-23
Q24856119,Lee Sang-eui,2009-09-30,2010-06-30
Q5646647,Han Min-goo,2010-06-30,2011-10-26
Q6180288,Jeong Seung-jo,2011-10-26,2013-10-16
,Choi Yoon-hee,2013-10-16,2015-10-07
,Lee Sun-jin,2015-10-07,2017-08-20
Q22974878,Jeong Kyeong-doo,2017-08-20,2018-09-21
Q47501409,Park Han-ki,2018-10-11,2020-09-23
Q42527142,Won In-choul,2020-09-23,2022-07-04
,Kim Seung-kyum,2022-07-04,
